StomachContent	SampleID	Species	Shifting	GutSection	Site	Location	Content
Animalmatter	X2G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X3G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Animalmatter	X5G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X6G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X7G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X8G_GW	A.grammoptilus	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X4G_HG	A.grammoptilus	Non_shifting	HG	South_Algae_Flats	Outer_reef	0
Animalmatter	X10NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X1NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X2NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X3NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X4NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X5NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	NA
Animalmatter	X6NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X7NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X8NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X9NN_GW	A.nigricans	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X1NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X2NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0.26
Animalmatter	X3NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X4NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X5NU_GW	A.nigricauda	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Animalmatter	X10NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X11NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X6NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0.45
Animalmatter	X7NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X8NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X9NU_GW	A.nigricauda	Non_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X7O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0
Animalmatter	X8O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0.51
Animalmatter	X9O_GW	A.olivaceus	Range_shifting	GW	Keyhole	Outer_reef	0
Animalmatter	X10O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X11O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	5.28
Animalmatter	X1O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X2O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0.79
Animalmatter	X3O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	1.43
Animalmatter	X4O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X5O_GW	A.olivaceus	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Animalmatter	X10T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X11T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X1T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X2T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X3T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X4T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X6T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X7T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	2
Animalmatter	X8T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	0
Animalmatter	X9T_GW	A.triostegus	Range_shifting	GW	Lagoon_entrance_east	Lagoon	5.83
Animalmatter	X5T_HG	A.triostegus	Range_shifting	HG	Lagoon_entrance_east	Lagoon	0
Other	X1B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Other	X2B_GW	A.blochii	Non_shifting	GW	Lagoon_entrance_west	Lagoon	0
Other	X5B_GW	A.blochii	Non_shifting	GW	South_Algae_Flats	Outer_reef	2.78
Other	X10D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X1D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
Other	X2D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X3D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	0
Other	X4D_GW	A.dussumieri	Range_shifting	GW	South_Algae_Flats	Outer_reef	NA
